COLLISION_ID,crash_datetime,CRASH_YEAR,CRASH_MONTH,CRASH_HOUR,CRASH_WEEKDAY,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,persons_count,persons_injured,persons_killed,PEDESTRIAN,BICYCLIST,MOTORIST,median_age
3970654,2018-08-29 17:15:00,2018,8,17,Wednesday,MANHATTAN,10001.0,40.748695,-73.98439,0.0,0.0,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,34.0
3753495,2017-09-19 07:00:00,2017,9,7,Tuesday,UNKNOWN,,40.8492,-73.82716,0.0,0.0,Driver Inattention/Distraction,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,14.5
2889240,2013-09-26 09:15:00,2013,9,9,Thursday,UNKNOWN,,40.8246654,-73.8707949,0.0,0.0,Fatigued/Drowsy,PICK-UP TRUCK,,,,,,,
4668116,2023-10-05 02:45:00,2023,10,2,Thursday,QUEENS,11362.0,40.766273,-73.740074,0.0,0.0,Unsafe Speed,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,26.0
4507962,2022-03-04 13:30:00,2022,3,13,Friday,MANHATTAN,10016.0,40.738514,-73.97644,0.0,0.0,Unspecified,Pick-up Truck,3.0,0.0,0.0,0.0,0.0,0.0,36.0
4052865,2018-12-27 08:00:00,2018,12,8,Thursday,BROOKLYN,11239.0,40.648293,-73.88227,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,2.0,0.0,0.0,0.0,0.0,0.0,39.0
3531351,2016-09-30 19:40:00,2016,9,19,Friday,UNKNOWN,,40.67624,-73.866104,0.0,0.0,Driver Inexperience,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,49.0
4640410,2023-06-24 07:30:00,2023,6,7,Saturday,UNKNOWN,,40.746292,-73.83567,0.0,0.0,Unsafe Speed,Station Wagon/Sport Utility Vehicle,5.0,0.0,0.0,0.0,0.0,0.0,54.0
3807492,2017-12-11 14:00:00,2017,12,14,Monday,QUEENS,11355.0,40.75545,-73.83516,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,3.0,0.0,0.0,0.0,0.0,0.0,28.0
4112686,2019-04-10 20:50:00,2019,4,20,Wednesday,UNKNOWN,,40.691433,-73.89063,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,43.0
